participant,distance_setting,number_of_objects,trial_number,target_present,ran,order,response_yes,yes_no_correct,hit,false_alarm,rt_sec,rt_where_sec,response_where_x,response_where_y,target_pos_x,target_pos_y,click_distance_deg,distance_shapecomp,background_shape_idx,proto_object_idx,date_str
JT,mid,3,7,True,1.0,6.0,1.0,1.0,1,0,0.3142979,0.37586188,-3.552048024284669,-6.5690595260829445,-3.034914534523191,-6.833410915087132,0.58078283,1.076143741607666,0.0,47.0,2023-06-27_11h44.41.678
JT,mid,3,8,True,1.0,7.0,1.0,1.0,1,0,0.31544805,0.43987298,3.760117783029378,-6.554197400458322,4.21926628266626,-6.426847343173032,0.4764823,1.0129791498184204,0.0,68.0,2023-06-27_11h44.41.678
JT,mid,3,9,True,1.0,8.0,1.0,1.0,1,0,0.6392362,0.80825305,-2.5860098586842364,-6.881164164200008,-1.8205794857894024,-6.960210873211459,0.76950115,0.929678738117218,0.0,28.0,2023-06-27_11h44.41.678
JT,mid,3,10,True,1.0,9.0,1.0,1.0,1,0,0.86799407,0.6718068,9.095620882268694,6.078609380470416,-4.564622790071383,8.258528732448083,13.833087,1.0413960218429563,0.0,5.0,2023-06-27_11h44.41.678
JT,mid,3,11,True,1.0,10.0,1.0,1.0,1,0,0.87109804,0.47989106,-6.004298752347307,5.603021360482511,-6.400714173177653,5.979734617005567,0.546862,0.99307119846344,0.0,7.0,2023-06-27_11h44.41.678
JT,mid,3,12,True,1.0,11.0,1.0,1.0,1,0,0.45210195,0.6880801,0.8471411606034567,5.989436626722685,0.6682088590970988,5.953181423949155,0.18256837,0.9902483820915222,0.0,64.0,2023-06-27_11h44.41.678
JT,mid,3,13,True,1.0,12.0,0.0,0.0,0,0,0.41820908,,,,-4.700062200064768,-1.986172695697476,,0.99307119846344,0.0,7.0,2023-06-27_11h44.41.678
JT,mid,3,14,True,1.0,13.0,1.0,1.0,1,0,0.32234502,0.7275529,7.490511314809512,-9.66038165600433,7.959303777267115,-8.452580286359668,1.2955889,0.9998947381973268,0.0,72.0,2023-06-27_11h44.41.678
JT,mid,3,15,True,1.0,14.0,0.0,0.0,0,0,0.49046397,,,,6.984617815659386,-3.2660563982284216,,1.0037909746170044,0.0,63.0,2023-06-27_11h44.41.678
JT,mid,3,16,True,1.0,15.0,0.0,0.0,0,0,0.9411721,,,,-0.8296379187978749,12.083431180808333,,1.0057801008224487,0.0,33.0,2023-06-27_11h44.41.678
JT,mid,3,17,True,1.0,16.0,1.0,1.0,1,0,0.35620904,0.5599282,11.354663977211242,2.957562999299788,11.385932305002042,-1.8142412139215136,4.771907,1.005864500999451,0.0,74.0,2023-06-27_11h44.41.678
JT,mid,3,18,True,1.0,17.0,1.0,1.0,1,0,0.86426306,0.5916872,0.0743106281231102,0.0594485024984881,-6.7425620684522976,-0.5397142447202674,6.8431535,0.992530107498169,0.0,59.0,2023-06-27_11h44.41.678
JT,mid,3,19,False,1.0,18.0,1.0,0.0,0,1,0.63040495,0.49579787,2.779217491804322,6.821715661701519,,,,,2.0,-1.0,2023-06-27_11h44.41.678
