,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
8147,RS,mid,8,False,1.0,0.0,,6.806853536076897,,6.152920008593528,0,1,,,
8148,RS,mid,8,False,1.0,0.0,,7.312165807314046,,2.8386659943028105,0,1,,,
8149,RS,mid,8,True,1.0,1.0,8.689174721283866,7.475649189184889,-8.09052190401448,-6.628508028581432,1,0,11.872586155355396,-0.749736075856584,1.900033891543744
8150,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8151,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8152,RS,mid,8,True,1.0,1.0,-9.006781405268274,-7.059509671695472,-6.665577253460023,-3.864152662401732,1,0,11.205000285771082,-2.5044822209217297,3.411721990983107
8153,RS,mid,8,True,0.0,0.0,7.084837034688375,,1.277494315109016,,0,0,7.199090743505587,0.17839693192194161,
8154,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8155,RS,mid,8,False,1.0,0.0,,5.30577884799007,,-3.34397826553996,0,1,,,
8156,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8157,RS,mid,8,True,0.0,0.0,-1.2908806872174197,,10.972657174149704,,0,0,11.0483292135078,1.6879032594372694,
8158,RS,mid,8,False,1.0,0.0,,7.431062812311023,,-6.078609380470416,0,1,,,
8159,RS,mid,8,True,1.0,1.0,5.219735119587318,-4.755880199879055,-9.135220915530548,-4.057360295521819,1,0,10.521306757917479,-1.0516824885200242,11.19363968860029
8160,RS,mid,8,True,0.0,0.0,-6.090491104667078,,5.8981349225323845,,0,0,8.478329874475568,2.3722380032370816,
8161,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8162,RS,mid,8,True,1.0,1.0,-5.795561759879983,2.556285607434992,2.3157091998229773,5.989436626722685,1,0,6.2410772476174285,2.7614605046613567,9.124123390993855
8163,RS,mid,8,True,1.0,1.0,7.271985328053478,10.626419821604763,2.38636216673842,-2.8238038686781888,1,0,7.653528271474897,0.3170857942591721,6.196616890540797
8164,RS,mid,8,False,1.0,0.0,,3.893876913650976,,-5.15715759174385,0,1,,,
8165,RS,mid,8,True,0.0,0.0,9.683431907247382,,0.1492974003676907,,0,0,9.684582759006876,0.015416597514072641,
